label,text
fan_reaction,i've seen more intensity in a local sunday league match than whatever that first half was supposed to be.
fan_reaction,"Shirts made off the same material as football players, Fragile as usual"
fan_reaction,ref is literally guessing at this point he has zero control over the match and everyone knows it.
fan_reaction,God I love the Mexican jersey. The design is awesome
fan_reaction,oh my god he actually scored it from there??
fan_reaction,Sack the manager now!
fan_reaction,that's never a foul. he went down like he was shot.
fan_reaction,ref is on the payroll for sure. check his bank account.
fan_reaction,finally he gets subbed off. should've happened at 45'.
fan_reaction,i’m so tired of var ruining the celebrations.
fan_reaction,Dude turns 39 next week and just put up a hat trick to tie the WC goal record. There are no words to truly describe what we're witnessing.
fan_reaction,GOAT. Comes and scores hattrick gets subbed. Absolute peak.
fan_reaction,We all are unbelievably lucky to be born at a time to watch this man play football
fan_reaction,"I'm thankful to be witnessing this, and I'm gonna miss him the day he retires"
fan_reaction,We all knew as soon as he received the ball there he would score.
fan_reaction,game’s gone. var is a joke.
fan_reaction,It's like he's playing his own game. Unreal
fan_reaction,SIUUUUUUUUUUUUUUUUUUUUU
fan_reaction,absolute robbery. we were the better team for 90 mins.
fan_reaction,how do you miss that from 2 yards out? my grandma scores that.
fan_reaction,i can’t breathe. 10 mins of added time is going to kill me.
fan_reaction,ball don't lie!! justice served.
fan_reaction,football is the most beautiful and cruel game at the same time.
fan_reaction,tears in my eyes. finally a win.
fan_reaction,why is he taking off our best player? manager is cooked.
fan_reaction,what a hit son! take a bow!
fan_reaction,i’m turning the tv off. i can’t watch this anymore.
fan_reaction,my heart is actually pounding so fast right now
fan_reaction,get that man a statue immediately.
fan_reaction,Haaland looking like he's about to invade the north of england
fan_reaction,Brazil already has Neymar so it's cursed
fan_reaction,I’ve seen this dude score that same damn goal for over 15 years.
fan_reaction,I love the World Cup
fan_reaction,FIRST CAREER WORLD CUP HAT TRICK AT 50 YEARS OF AGE HOLY SHIT
fan_reaction,He could be in a wheelchair and still be the best player on the field
fan_reaction,what a strike! that's going straight into the highlight reels.
fan_reaction,he's him. best player on the pitch by a mile today.
fan_reaction,VAR check is taking forever just let us play ffs.
fan_reaction,the script is actually perfect for messi to win it again and i'm here for the absolute chaos it causes.
fan_reaction,game's gone if that's considered a foul these days tbh.
fan_reaction,finally he gets subbed off smh he's been a passenger for 70 minutes and should've been gone at the half.
fan_reaction,absolute cinema.
fan_reaction,i'm going to lose my job because i'm screaming at my desk during this match but i don't even care.
fan_reaction,"That goal was pure filth, I can't believe he actually pulled that off."
fan_reaction,Ref is absolutely cooked for not giving that as a penalty tbh.
fan_reaction,"I'm actually stressed watching this, just blow the whistle already ref."
fan_reaction,look at that tackle proper brexit football that is lol he nearly took his leg off and ref says play on.
fan_reaction,"Look at those scenes in the stands, the World Cup is just different."
fan_reaction,We are so finished if we don't find an equalizer in stoppage time.
fan_reaction,bruh if we lose to bolivia i am officially deleting my account and moving to a desert island honestly.
fan_reaction,imagine paying 100 dollars for a ticket just to watch us pass sideways for 90 minutes straight smh.
fan_reaction,we actually bottled it in the 95th minute again i don't even know why i support this club it's just pain.
fan_reaction,He’s him. Literally the best player to ever wear the national shirt.
fan_reaction,pitch looks like a potato field honestly how is this even allowed in a world cup tournament?
fan_reaction,LMAO the commentator just called him world class right before he tripped over the ball i am dead.
fan_reaction,how is that not a second yellow?? consistency is dead.
fan_reaction,He played well today because he stayed wide.
fan_reaction,pure luck. they didn't deserve anything from this game.
fan_reaction,i’m booking my flights for the final right now.
fan_reaction,get him out of my club. useless.
fan_reaction,that miss is going to be on every blooper reel for 50 years.
fan_reaction,var is genuinely killing the joy of the game i can't even celebrate a goal for five minutes without a review.
fan_reaction,game's gone if that's a penalty tbh he went down like he was shot by a sniper absolute joke of a ca
fan_reaction,proper shithousery from the keeper to waste time like that and i honestly love to see it ffs we're massive.
fan_reaction,scenes in the fan zone when that went in lol i've literally lost my voice from screaming so loud just now.
hot_take,Ronaldo > Messi. Cope and seethe.
hot_take,Messi only won the World Cup because FIFA wanted the perfect script. It was rigged from the start.
hot_take,The World Cup is literally the biggest event in the modern world. Period.
hot_take,"Ngl, Prime Hazard was actually better than Prime Neymar. People just look at stats too much."
hot_take,"Even as a fan of Argentina, I was thinking he should’ve gotten at minimum a yellow"
hot_take,The Premier League is a farmers league now. Man City has ruined the competition for everyone else.
hot_take,"Real Madrid isn't even a good team, they just have some weird black magic in the Champions League."
hot_take,Harry Kane is the most overrated striker in history. Ghosting in every single final he's ever played.
hot_take,International football is 100x better than club football. The passion actually exists there.
hot_take,Saudi Pro League will be a top 3 league in the world by 2030. European fans are just scared.
hot_take,we should let mexico host the world wup by itself next time.
hot_take,"Tbh, Mbappe is going to flop at Madrid. Too many egos in that dressing room."
hot_take,Erling Haaland is just a glorified poacher. Put him in a mid-table team and he scores 5 goals a season max.
hot_take,VAR has actually made the game more entertaining because of the drama. I love the chaos.
hot_take,"Pulisic is genuinely world class. If he was Brazilian, everyone would be saying he’s worth USD 150 million."
hot_take,La Liga is boring now. It’s just 20 teams playing for a 0-0 draw every weekend.
hot_take,Messi had to remind everyone who the goat is
hot_take,Jude Bellingham is a PR merchant. He has one good game and the English media acts like he’s Zidane.
hot_take,Southgate was actually a great manager and England fans will regret wanting him gone.
hot_take,The 48-team World Cup is better. More teams = more fun. Stop being elitist.
hot_take,MLS is higher quality than the bottom half of the Championship. Fight me.
hot_take,Bruno Fernandes is the most annoying player to ever grace the pitch. Can’t stand the constant whining.
hot_take,Winning the treble is easier than winning the World Cup. Club football is just about who has the most money.
hot_take,Goalkeepers should never win the Ballon d'Or. They play a completely different sport.
hot_take,Mourinho is finished. He hasn't had a relevant tactical idea since 2012.
hot_take,Football was better when players were allowed to actually tackle each other. The game is too soft now.
hot_take,That’s it guys. Mexico is winning the World Cup
hot_take,Lamine Yamal is already better than Vinicius Jr. The ceiling is way higher.
hot_take,"Klopp was carried by his recruitment team. Without Salah and Mane, he’s just another mid-table coach."
hot_take,"The ""Golden Goal"" rule needs to come back. Penalties are a coin flip and a terrible way to end a match."
hot_take,PSG is a fake club with zero soul. They could win 10 CLs and nobody would care.
hot_take,Darwin Nunez is a top 3 striker in the world. People just focus on the misses because it’s funny.
hot_take,Serie A is the most tactical and difficult league to play in. Scoring 20 goals there is like scoring 40 in the PL.
hot_take,"Pep Guardiola is a ""checkbook manager."" Give him a budget of USD 50 million and he’d finish 10th."
hot_take,Messi was never going to get a card for that
hot_take,Defensive football is an art form. I’d rather watch a 1-0 Mourinho masterclass than a 5-5 blowout.
hot_take,"Zlatan was never as good as he claimed to be. Great for the highlights, mediocre for the full 90."
hot_take,The Ballon d'Or lost all credibility when Lewandowski didn't win it in 2020.
hot_take,Modern football is too robotic. I miss the days of out-of-shape geniuses like Ronaldinho and Riquelme.
hot_take,Arsenal are the biggest bottlejobs in sports history. It’s in the club’s DNA at this point.
hot_take,Phil Foden is just a system baby. He wouldn't survive a week in a team that didn't have 70% possession.
hot_take,The Europa League is more fun to watch than the Champions League. More variety and less corporate.
hot_take,Referees should have to do post-match interviews to explain their terrible decisions.
hot_take,Haaland isn't even the best player at City. Rodri is the only reason that team functions.
hot_take,"Mexico will never win a World Cup because they are too comfortable being the ""kings"" of a weak region."
hot_take,10 minutes of added time should be the standard for every game. Stop the time-wasting.
hot_take,Xavi was a better midfielder than Iniesta. People just like the dribbling more than the control.
hot_take,Chelsea is a social experiment to see how much money you can spend without actually improving.
hot_take,The German Bundesliga is just a developmental league for the Premier League.
hot_take,Buffon was better than Neuer. Sweeper-keeping is just an excuse for being out of position.
hot_take,High-pressing is boring. Every team plays the exact same way now. I miss the 4-4-2 era.
hot_take,Julian Alvarez is clear of Lautaro Martinez. Argentina plays better when he’s on the pitch.
hot_take,"Fans who have never been to a stadium shouldn't be allowed to have ""strong"" opinions on Reddit."
hot_take,The Club World Cup is a waste of time and nobody actually cares about it.
hot_take,"Thierry Henry is the greatest player to ever play in the Premier League. Better than Shearer, better than Rooney."
hot_take,Football is becoming too expensive for real fans. It’s a sport for tourists now.
hot_take,Griezmann is the most underrated player of this generation. He’s been world class for a decade.
hot_take,"The offside rule needs to be simplified. If any part of your body is level, you’re onside."
hot_take,Bayern Munich winning the league every year is bad for world football.
hot_take,Modric is top 5 midfielders of all time. Better than Xavi and Pirlo.
hot_take,"The ""Super League"" is going to happen eventually, and honestly, it might be better than what we have now."
hot_take,Every player in the top 5 leagues is technically 10x better than the legends of the 60s and 70s.
hot_take,Pundits on TV have no idea what they are talking about. They just say whatever gets the most clicks.
hot_take,Winning the Copa America is harder than winning the Euros. The physicality in South America is insane.
hot_take,"Managers get too much credit. It’s 90% about having the best players and 10% about the ""tactics."""
hot_take,Football would be better if we stopped using stats for everything. Just watch the game with your eyes.
hot_take,"Luis Suarez was the best striker of the last 20 years. Better than Lewa, Benzema, and Zlatan."
hot_take,Multi-club ownership is the biggest threat to the integrity of the sport right now.
tactical_analysis,Using a high press against a team with this much technical quality was a gamble that didn't pay off. They just played right through us.
tactical_analysis,"The striker’s hold-up play was the key. He occupied both center backs, allowing the wingers to make those diagonal runs inside."
tactical_analysis,"Looking at the pass network, the connection between the CM and RW was our most productive route. We should have exploited it more."
tactical_analysis,The transition defense was non-existent. We were left with 2 defenders against 4 attackers every time we lost the ball.
tactical_analysis,Our xG per shot was extremely low today. We were just hitting speculative long shots instead of working the ball into the box.
tactical_analysis,The movement off the ball was tragic. Everyone was just standing still waiting for the ball to come to them. No rotations at all.
tactical_analysis,Possession was 50-50 but they had 10 more shots. They were just way more efficient at moving the ball forward quickly.
tactical_analysis,Their press was triggered every time our LB touched the ball. They clearly identified him as the weak link in our build-up.
tactical_analysis,Argentina [3] - 0 Algeria - Lionel Messi 76‎'‎ hat-trick
tactical_analysis,Saliba won 100% of his aerial duels today. France’s aerial dominance is why they haven't conceded from a set piece yet.
tactical_analysis,Spain’s false nine system failed today because there were 0 runs in behind to stretch the center-backs.
tactical_analysis,Norway's Erling Haaland is the first player to score twice on their World Cup debut since
tactical_analysis,The stats show that 80% of the chances came from the left flank where Davies was doubling up with the winger.
tactical_analysis,"For the first time since 1930, the USMNT has won back-to-back games in the men’s World Cup."
tactical_analysis,Japan’s defensive block was so compact that the opposition only managed 2 touches in the penalty area all game.
tactical_analysis,Shocking amount of people think cutting across a defender from their blindside and going down is a foul
tactical_analysis,Portugal’s average position map shows a massive hole in the pivot; they miss Palhinha’s defensive coverage.
tactical_analysis,Bellingham’s pass completion under pressure was 94% today—he’s literally the only reason England kept the ball.
tactical_analysis,"The high press was elite today. We forced 15 turnovers in their defensive third, which is the most I’ve seen from this squad in years."
tactical_analysis,"People are hating on the CDM but his positioning was 10/10. He blocked the passing lanes to their #10 all night, basically taking him out of the game."
tactical_analysis,"Our build-up play was way too slow. By the time the ball reached the final third, they already had 10 men behind the ball in a low block."
tactical_analysis,"The double pivot was a disaster tbh. Neither of them wanted to drop deep to collect the ball, so the CBs were just forced to spam long balls."
tactical_analysis,Rodri’s pass completion under pressure was 98% today. It’s actually insane how he dictates the tempo while 3 players are hounding him.
tactical_analysis,The decision to play an inverted left-back was genius. It allowed us to have a numerical advantage in midfield during the transition phase.
tactical_analysis,Their PPDA was under 7 today. They didn't let us breathe for a second. That level of pressing intensity is impossible to play against.
tactical_analysis,Tactical masterclass from the manager. Using a false nine pulled their captain out of position and opened up the massive gap for the winner.
tactical_analysis,We conceded because the wingers weren't tracking back. The fullbacks were constantly left in 2v1 situations on the overlap.
tactical_analysis,"Musiala’s dribbling stats are elite, but his decision-making in the final third was poor today. Too many touches instead of the simple pass."
tactical_analysis,The stats show we had 70% possession but 0 shots on target in the first half. Pure 'U-shape' passing with no verticality at all.
tactical_analysis,Their keeper's distribution is a joke. He started 3 of their best chances just by pinging 50-yard balls directly to the wingers' feet.
tactical_analysis,We finally saw some tactical flexibility. Dropping into a mid-block after the first goal completely neutralized their pace on the counter.
tactical_analysis,The average position map is hilarious. Our strikers were basically standing on each other's toes. Zero width in the final third.
tactical_analysis,"Bellingham playing as a shadow striker worked because he drew the defenders away, leaving the actual striker 1v1 with the keeper."
tactical_analysis,"Defensively, we were so compact. The distance between our front line and back line was never more than 20 yards. Elite discipline."
tactical_analysis,Their #6 was cooked by the 60th minute. He couldn't keep up with the rotations in our midfield and started leaving huge gaps.
tactical_analysis,The xA from our right back today was higher than the rest of the team combined. His crossing is our only real threat.
tactical_analysis,Japan’s transition from defense to attack is the fastest in the tournament. 3 passes and they’re in the box every single time.
tactical_analysis,We lost the tactical battle in the half-spaces. Their #8s were constantly finding pockets of space between our midfield and defense.
tactical_analysis,Playing with two holding midfielders was a mistake. We had zero creativity in the final third and the striker was completely isolated.
tactical_analysis,"The heatmap shows we spent the entire game in their half, but we only had 1 big chance created. We need a proper poacher."
tactical_analysis,Their high line is so risky. One long ball over the top and they’re completely exposed. They got lucky with the offside calls today.
tactical_analysis,Cristiano Ronaldo has gone 10 consecutive World Cup and European Championship matches without scoring
tactical_analysis,USA's 4-3-3 transition into a 3-2-5 in possession completely overwhelmed the Australian low block today.
tactical_analysis,"Musiala’s heatmap is insane; he spent 40% of the match in the left half-space, dragging the fullback out of position."
tactical_analysis,"Statistically, Brazil's PPDA was 7.2 today, their highest pressing intensity since the 2022 qualifiers."
tactical_analysis,The decision to play a high line against Mbappe was suicide; he had 5 progressive carries into the box in the first half alone.
tactical_analysis,"Looking at the xG map, Mexico had 2.4 xG but only 1 big chance created. Too many low-probability long shots."
tactical_analysis,"Argentina is struggling because Enzo is dropping too deep to pick up the ball, leaving Messi isolated between the lines."
tactical_analysis,"Italy’s 'box midfield' created a 4v3 overload centrally, making it impossible for the midfield to progress the ball."
tactical_analysis,Playing with two holding midfielders was a mistake. We had zero creativity in the final third and the striker was completely isolated.
tactical_analysis,"The heatmap shows we spent the entire game in their half, but we only had 1 big chance created. We need a proper poacher."
tactical_analysis,Their high line is so risky. One long ball over the top and they’re completely exposed. They got lucky with the offside calls today.
tactical_analysis,"Statistically, Rice made 6 interceptions in the first half. His ability to read the game and break up play is literally world class."
tactical_analysis,The substitution changed everything. Bringing on a traditional winger meant we finally had someone to stretch their back five.
tactical_analysis,"Our press was disjointed. The front three went, but the midfield didn't follow, leaving a massive hole for them to play through."
tactical_analysis,We’re playing too many sideways passes. We need someone in the pivot who is brave enough to play those line-breaking balls.
tactical_analysis,Man-marking their #6 out of the game was a masterclass; he didn't complete a single progressive pass in the entire second half.
tactical_analysis,Switching from a 4-3-3 to a 3-4-3 during possession helped create the wide overloads we needed to break their low block.
tactical_analysis,Their captain was man-marking our best player out of the game. He didn't have a single touch in the box for 90 minutes.
tactical_analysis,The tactical foul on the 80th minute was smart. It stopped a 3v1 counter and allowed the defense to reset. Professional play.
tactical_analysis,Look at the xG breakdown—we had 15 shots but almost all of them were from outside the box with a probability under 0.05.
tactical_analysis,"Average positions from the match show a massive gap between the midfield and the strikers, which is why we looked so disjointed."
tactical_analysis,"Every time we tried to play out from the back, their front three triggered a coordinated press that forced our keeper into long balls."
tactical_analysis,"Using an inverted left-back allowed us to dominate the central areas, but it left the flank wide open for their counter-attacks."
tactical_analysis,"Honestly, playing such a high defensive line against a team with that much pace was just asking for trouble."
tactical_analysis,"Ngl, switching to a double pivot in the 60th minute was the only thing that stopped us from getting completely overrun in midfield."
tactical_analysis,"Saka’s heatmap shows he was basically playing as a wing-back today, which explains why we had zero threat in the final third."